frame,player_id,team,x,y,speed_kmh,distance_m,total_distance_m
31,11,Team_2,447,289,4.82,0.04,0.89
31,12,Umpire,715,395,0.0,0.0,0.38
31,13,Team_2,812,406,3.05,0.03,0.76
31,14,Umpire,1138,279,10.99,0.1,2.12
31,16,Umpire,1196,249,10.77,0.1,2.06
31,19,Team_1,369,369,4.82,0.04,0.49
31,7,Team_2,347,370,14.45,0.13,1.24
32,1,Team_2,1044,357,10.77,0.1,1.82
32,2,Team_1,649,359,0.0,0.0,0.22
32,3,Team_1,1018,356,8.62,0.08,1.83
32,5,Team_1,932,558,4.82,0.04,1.54
32,6,Team_2,989,543,9.64,0.09,1.7
32,8,Team_2,785,384,2.15,0.02,0.71
32,9,Team_1,615,414,3.05,0.03,0.39
32,10,Team_1,393,291,4.82,0.04,1.12
32,11,Team_2,446,289,2.15,0.02,0.91
32,12,Umpire,715,396,2.15,0.02,0.4
32,13,Team_2,814,408,6.09,0.06,0.81
32,14,Umpire,1142,279,8.62,0.08,2.2
32,16,Umpire,1202,247,13.63,0.13,2.19
32,19,Team_1,364,367,11.6,0.11,0.6
32,7,Team_2,343,371,8.88,0.08,1.33
33,1,Team_2,1046,358,4.82,0.04,1.87
33,2,Team_1,649,359,0.0,0.0,0.22
33,3,Team_1,1020,356,4.31,0.04,1.87
33,5,Team_1,933,559,3.05,0.03,1.57
33,6,Team_2,990,544,3.05,0.03,1.73
33,8,Team_2,786,384,2.15,0.02,0.73
33,9,Team_1,615,415,2.15,0.02,0.41
33,10,Team_1,392,291,2.15,0.02,1.14
33,11,Team_2,446,289,0.0,0.0,0.91
33,12,Umpire,715,396,0.0,0.0,0.4
33,13,Team_2,814,408,0.0,0.0,0.81
33,14,Umpire,1144,279,4.31,0.04,2.24
33,16,Umpire,1204,247,4.31,0.04,2.23
33,19,Team_1,362,367,4.31,0.04,0.64
33,7,Team_2,342,372,3.05,0.03,1.36
34,1,Team_2,1050,358,8.62,0.08,1.95
34,2,Team_1,649,359,0.0,0.0,0.22
34,3,Team_1,1024,356,8.62,0.08,1.95
34,5,Team_1,935,560,4.82,0.04,1.61
34,6,Team_2,992,546,6.09,0.06,1.79
34,8,Team_2,787,385,3.05,0.03,0.76
34,9,Team_1,615,415,0.0,0.0,0.41
34,10,Team_1,390,291,4.31,0.04,1.18
34,11,Team_2,444,288,4.82,0.04,0.95
34,12,Umpire,716,397,3.05,0.03,0.43
34,13,Team_2,815,409,3.05,0.03,0.84
34,14,Umpire,1148,279,8.62,0.08,2.32
34,16,Umpire,1208,245,9.64,0.09,2.32
34,19,Team_1,360,366,4.82,0.04,0.69
34,7,Team_2,340,371,4.82,0.04,1.4
35,1,Team_2,1054,359,8.88,0.08,2.03
35,2,Team_1,650,360,3.05,0.03,0.25
35,3,Team_1,1028,356,8.62,0.08,2.03
35,5,Team_1,937,563,7.77,0.07,1.69
35,6,Team_2,995,548,7.77,0.07,1.86
35,8,Team_2,788,385,2.15,0.02,0.78
35,9,Team_1,616,416,3.05,0.03,0.44
35,10,Team_1,387,291,6.46,0.06,1.24
35,11,Team_2,442,288,4.31,0.04,0.99
35,12,Umpire,716,397,0.0,0.0,0.43
35,13,Team_2,816,410,3.05,0.03,0.87
35,14,Umpire,1153,278,10.99,0.1,2.43
35,16,Umpire,1213,244,10.99,0.1,2.42
35,19,Team_1,355,369,12.56,0.12,0.8
35,7,Team_2,339,373,4.82,0.04,1.44
36,1,Team_2,1060,359,12.93,0.12,2.15
36,2,Team_1,650,361,2.15,0.02,0.27
36,3,Team_1,1032,356,8.62,0.08,2.11
36,5,Team_1,939,566,7.77,0.07,1.76
36,6,Team_2,998,549,6.81,0.06,1.92
36,8,Team_2,788,385,0.0,0.0,0.78
36,9,Team_1,617,416,2.15,0.02,0.46
36,10,Team_1,384,291,6.46,0.06,1.3
36,11,Team_2,440,288,4.31,0.04,1.03
36,12,Umpire,716,397,0.0,0.0,0.43
36,13,Team_2,817,412,4.82,0.04,0.91
36,14,Umpire,1157,277,8.88,0.08,2.51
36,16,Umpire,1219,244,12.93,0.12,2.54
36,19,Team_1,353,371,6.09,0.06,0.86
36,7,Team_2,336,373,6.46,0.06,1.5
37,1,Team_2,1065,360,10.99,0.1,2.25
37,2,Team_1,650,362,2.15,0.02,0.29
37,3,Team_1,1036,356,8.62,0.08,2.19
37,5,Team_1,942,568,7.77,0.07,1.83
37,6,Team_2,1000,551,6.09,0.06,1.98
37,8,Team_2,788,386,2.15,0.02,0.8
37,9,Team_1,617,417,2.15,0.02,0.48
37,10,Team_1,382,291,4.31,0.04,1.34
37,11,Team_2,438,288,4.31,0.04,1.07
37,12,Umpire,716,398,2.15,0.02,0.45
